Nama;Jumlah ;Status;Pemerintahan;Swasta;Desa/Kelurahan;Jumlah Tenaga Pengajar;Jumlah Siswa/Mahasiswa
TK ;1.0;Terakreditasi ;0.0;1.0;1.0;3 2;5.0
SD ;1.0;Terakreditasi ;1.0;0.0;0.0;8 3;0.0
